,PR,TR,포트배당수익률(%)
2021-02-16,4041.597110061549,4590.932622502792,1.3184649569213962
2021-02-17,4034.1483311164798,4582.636818747767,1.3184649569213962
2021-02-18,3976.242796546607,4517.021413921314,1.3184649569213962
2021-02-19,4112.795606478897,4672.314388850596,1.3184649569213962
2021-02-22,4096.449817075107,4654.248829450873,1.3184649569213962
2021-02-23,4045.6632346272972,4596.712742895176,1.3184649569213962
2021-02-24,3920.5455729698483,4454.713613638611,1.3159432301062655
2021-02-25,4122.580347723515,4684.444069829757,1.3159432301062655
2021-02-26,4001.4131912139055,4546.926935824835,1.3159432301062655
2021-03-02,4051.063511345306,4604.009505316043,1.3159432301062655
2021-03-03,4098.640852144161,4658.248693164826,1.3159432301062655
2021-03-04,4040.65187332979,4592.507645854939,1.3159432301062655
2021-03-05,3990.672771365669,4535.86601658635,1.3159432301062655
2021-03-08,3903.456426870255,4437.213995099749,1.3159432301062655
2021-03-09,3838.2771585350715,4363.279328388497,1.3159432301062655
2021-03-10,3777.9932449293938,4294.904473586088,1.3159432301062655
2021-03-11,3916.008706779163,4451.9638292375685,1.3159432301062655
2021-03-12,4006.111103567659,4554.561962475433,1.3159432301062655
2021-03-15,3979.488857746879,4524.784048046316,1.3159432301062655
2021-03-16,4041.97970718246,4596.0033775259035,1.3159432301062655
2021-03-17,4033.569496605905,4586.605644061155,1.3159432301062655
2021-03-18,4130.699650859336,4697.222383717887,1.3159432301062655
2021-03-19,4132.008587658757,4698.880128131311,1.3159432301062655
2021-03-22,4171.7545570985785,4744.591626472537,1.3159432301062655
2021-03-23,4091.1462143364292,4653.082330083189,1.3159432301062655
2021-03-24,4114.062271612826,4679.314586978451,1.3159432301062655
2021-03-25,4101.874019925855,4665.619817806814,1.3159432301062655
2021-03-26,4101.259796166652,4665.089247897455,1.3159432301062655
2021-03-29,4101.577819537547,4665.955260682799,1.3159432301062655
2021-03-30,4117.900882687961,4684.693155326064,1.3159432301062655
2021-03-31,4076.618486990433,4637.895697315964,1.3159432301062655
2021-04-01,4243.883603144441,4828.364171125904,1.3159432301062655
